2025-11-29 08:36:06 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:44:29 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:44:30 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:44:30 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:44:30 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:46:27 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:46:27 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:46:27 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:46:27 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:46:27 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:46:28 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:46:28 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:46:28 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:46:29 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:46:29 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:46:29 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:46:29 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:46:43 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:46:43 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:46:43 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:46:43 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:46:50 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:46:50 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:46:50 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:46:50 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:47:40 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:47:41 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:47:41 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:47:41 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:47:49 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:47:49 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:47:49 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:47:49 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:48:34 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 09:23:48 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 09:23:48 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 09:23:48 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
